UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
10470,3-й Кожуховский проезд,58481226,3-й Кожуховский пр.,Tretij Kozhuxovskij proezd,3,,515,"7,70000000000183E+016",,,,,,,,
10490,Малый Козихинский переулок,58481227,М. Козихинский пер.,Maly'j Kozixinskij pereulok,2,,106,"7,70000000001496E+016",,,,,,,,
10500,Козицкий переулок,58481228,Козицкий пер.,Koziczkij pereulok,2,,108,"7,70000000001497E+016",,,,,,,,
10510,Козлова улица,58481229,Козлова ул.,Kozlova ulicza,1,,809,"7,70000000001498E+016",,,,,,,,
10520,Большой Козловский переулок,58481230,Б. Козловский пер.,Bol`shoj Kozlovskij pereulok,2,,102,"7,70000000001499E+016",,,,,,,,
10530,Малый Козловский переулок,58481231,М. Козловский пер.,Maly'j Kozlovskij pereulok,2,,102,"7,700000000015E+016",,,,,,,,
10535,улица Коккинаки,58481232,ул. Коккинаки,ulicza Kokkinaki,1,,201,"7,70000000001501E+016",,,,,,,,
10536,Коктебельская улица,58481233,Коктебельская ул.,Koktebel`skaya ulicza,1,,708,"7,70000000001502E+016",,,,,,,,
10540,Коленчатый переулок,58481234,Коленчатый пер.,Kolenchaty'j pereulok,2,,213,"7,70000000003662E+016",,,,,,,,
10550,Коллективный проезд,58481235,Коллективный пр.,Kollektivny'j proezd,3,,618,"7,70000000003663E+016",,,,,,,,
10570,улица Елены Колесовой,58481236,ул. Елены Колесовой,ulicza Eleny' Kolesovoj,1,,820,"7,70000000001503E+016",,,,,,,,
10575,улица Колобашкина,58481237,ул. Колобашкина,ulicza Kolobashkina,1,,612,"7,70000000007796E+016",,,,,,,,
10590,1-й Колобовский переулок,58481238,1-й Колобовский пер.,Pervy'j Kolobovskij pereulok,2,,108,"7,70000000000553E+016",,,,,,,,
10600,2-й Колобовский переулок,58481239,2-й Колобовский пер.,Vtoroj Kolobovskij pereulok,2,,108,"7,70000000000554E+016",,,,,,,,
10610,3-й Колобовский переулок,58481240,3-й Колобовский пер.,Tretij Kolobovskij pereulok,2,,108,"7,70000000000555E+016",,,,,,,,
10620,Колодезная улица,58481241,Колодезная ул.,Kolodeznaya ulicza,1,,418,"7,70000000001504E+016",,,,,,,,
10630,Колодезный переулок,58481242,Колодезный пер.,Kolodezny'j pereulok,2,,418,"7,70000000001505E+016",,,,,,,,
10640,Колокольников переулок,58481243,Колокольников пер.,Kolokol`nikov pereulok,2,,105,"7,70000000001506E+016",,,,,,,,
10650,Коломенская улица,58481244,Коломенская ул.,Kolomenskaya ulicza,1,,614,"7,70000000001508E+016",,,,,,,,
10655,Коломенская набережная,58481245,Коломенская наб.,Kolomenskaya naberezhnaya,5,,614,"7,70000000001507E+016",,,,,,,,
10670,Коломенский проезд,58481246,Коломенский пр.,Kolomenskij proezd,3,,613,"7,70000000000498E+016",,,,,,,,
10690,Колпачный переулок,58481247,Колпачный пер.,Kolpachny'j pereulok,2,,102,"7,70000000001509E+016",,,,,,,,
10692,Коломенское шоссе,58481248,Коломенское ш.,Kolomenskoe shosse,6,,613,"7,70000000003664E+016",,,,,,,,
10695,Колпинская улица,58481249,Колпинская ул.,Kolpinskaya ulicza,1,,212,"7,7000000000151E+016",,,,,,,,
10700,Большая Сухаревская площадь,58481250,Б. Сухаревская пл.,Bol`shaya Suxarevskaya ploshhad`,4,,104,105,"7,70000000007064E+016",,,,,,,
